58;257;1520.2205;1391.4119;0;99.9055;28.9031;53712.15;485.2;356.55;0;543.4;274.44;114.7;134.22;112.45;76.3;0;55809.41;15.63;55825.04
59;2;0.65;0;0;0;0.65;0;0;0;0;0;0;0;0;0;2.9;0;2.9;0;2.9
60;1;0.2525;0;0;0;0.2525;0;0;0;0;0;0;0;9;0;0;0;9;0;9
62;1;0.3;0;0;0;0.3;0;0;0;0;0;0;0;4.2;0;0;0;4.2;0;4.2
63;357;439.1309;268.5079;0;72.3281;98.2949;1307.53;6961.77;2686.35;0;531.47;2046.43;386.01;253.95;1649.99;440.41;0;16263.91;168.55;16432.46
64;632;2493.0711;2306.4156;0;50.2652;136.3903;63391.42;35258.95;6826.54;0;464.94;1948.98;304.82;919.65;2190.36;566.71;0;111872.37;4754.18;116626.55
65;164;461.8576;273.7079;0;98.5953;89.5544;1283.78;8464.88;168.32;0;221.28;853.19;143.8;52.7;495.85;96.65;0;11780.45;622.22;12402.67
66;2619;25720.6189;15550.6802;0;9357.3066;812.6321;82920.09;177738.38;90243.1;0;66675.71;168061.42;60727.22;5543.82;6428.79;2601.15;0;660939.68;14236.28;675175.96
67;1779;6615.1147;6596.529;0;0;18.5857;480118.66;3867.66;24746.58;0;0;0;0;789.13;6.07;40.7;0;509568.8;30715.4;540284.2
68;2287;8915.7324;8883.5004;0;0;32.232;632703.72;5744.53;36890.68;0;0;0;0;962.15;20.05;0;0;676321.13;38021.14;714342.27
69;2509;16703.7113;16263.6727;0;137.2447;302.7939;101233.73;652946.98;20279.63;4261.08;1780.6;5335.35;552.92;3530.89;15342.34;4401.29;0;809664.81;42480.04;852144.85
70;88;1243.0432;0;0;221.8957;1021.1475;0;0;0;0;780.86;707.26;154;273.81;257.06;0.75;0;2173.74;0;2173.74
71;1882;12863.9952;12772.9312;0;13.8062;77.2578;511974.24;195371.67;3520.33;20703.9;128.16;120.68;7;1971.64;835.67;484.15;0;735117.44;22190.45;757307.89
72;76;191.7419;141.4619;0;5.5952;44.6848;1955.32;488.49;309.5;0;13;87.5;71;255.46;176.87;158.42;0;3515.56;88.18;3603.74
73;489;1878.2255;1666.9851;0;88.8798;122.3606;73424.2;24965.12;6536.75;993.01;4223.09;1000.67;391.2;3369.06;1274.93;1000.88;0;117178.91;2117.92;119296.83
74;93;241.9473;141.6148;0;12.8836;87.4489;6400.77;735.1;246.23;12;573.9;63;26;3883.67;2093.61;37;0;14071.28;43.49;14114.77
77;9;21.6208;21.6208;0;0;0;1395.38;0;0;0;0;0;0;0;0;0;0;1395.38;41.7;1437.08
79;447;803.7813;670.1053;0;31.1988;102.4772;13459.81;2269.95;24633.85;0;1509.08;219.34;425.04;748.25;1951.32;439.62;0;45656.26;640.11;46296.37
81;598;6547.1526;3118.0089;0;2383.6564;1045.4873;49351.56;96662.31;16289.82;0;52623.72;139467.2;26885.57;28573.69;51317.64;14949.88;0;476121.39;9602.99;485724.38
82;345;1497.1505;741.9344;0;471.7444;283.4717;0;30638.61;11408.32;0;2398.69;21821.07;15800.32;381;18392.59;3600.27;0;104440.87;2611.25;107052.12
83;3448;27933.8829;21890.3811;0;5679.1356;364.3662;41171.79;79880.65;927020.53;730.75;25831.3;58168.76;261627.91;2805.68;5282.28;13960.02;0;1416479.67;53107.81;1469587.48
84;3926;50316.461;40038.2792;0;8790.7846;1487.3972;89068.24;1209375.75;178314.07;18233.17;75739.85;278209.38;211983.53;9782.62;60186.28;13503.97;0;2144396.86;64904.33;2209301.19
85;868;976.9294;479.6978;0;254.2401;242.9915;4969.99;6278.13;6323.43;0;3269.82;3057.85;4299.98;1253.41;1798.07;3613.98;0;34864.66;735.86;35600.52
86;860;1223.6586;542.902;0;409.5256;271.231;14676.5;5777.41;7327.34;0;15904.94;3920.24;2734.91;2858.22;2830.9;657.95;0;56688.41;475.24;57163.65
87;3;6.642;0;0;5.78;0.862;0;0;0;0;2;20;64;4;4;0;0;94;10;104
88;64;8.5416;0;0;0;8.5416;0;0;0;0;0;0;0;3.14;70.76;0;0;73.9;0;73.9
89;849;7513.5881;7474.2047;0;15.1822;24.2012;189361.98;13115.08;1595.69;765.02;91.05;42.52;7.5;169.61;240.23;76.28;0;205464.96;1247.05;206712.01
