0640251A;Université de Pau et des Pays de l'Adour;UPPA;Université;Public;;Nouvelle-Aquitaine>Bordeaux>Pyrénées-Atlantiques>Pau;64445;Pau;Pau;Pyrénées-Atlantiques;Bordeaux;Nouvelle-Aquitaine;AVENUE DE L UNIVERSITE;64012;PAU UNIVERSITE CEDEX;France;Formations supérieures et recherche universitaire (Recherche et enseignement supérieur);11401;11437;11301;11329;11774;11926
0590349J;École centrale de Lille;EC Lille;Instituts et écoles extérieurs aux universités;Public;;Hauts-de-France>Lille>Nord>Villeneuve-d'Ascq;59009;Villeneuve-d'Ascq;Lille;Nord;Lille;Hauts-de-France;CITE SCIENTIFIQUE;59651;VILLENEUVE D ASCQ CEDEX;France;Formations supérieures et recherche universitaire (Recherche et enseignement supérieur);1449;1438;1495;1562;1595;1658
0595964M;Université du Littoral Côte d'Opale;ULCO;Université;Public;;Hauts-de-France>Lille>Nord>Dunkerque;59183;Dunkerque;Dunkerque;Nord;Lille;Hauts-de-France;1 PLACE DE L'YSER;59375;DUNKERQUE CEDEX 1;France;Formations supérieures et recherche universitaire (Recherche et enseignement supérieur);10848;10145;10292;10071;9669;8370
0681166Y;Université de Haute-Alsace;UHA;Université;Public;;Grand Est>Strasbourg>Haut-Rhin>Mulhouse;68224;Mulhouse;Mulhouse;Haut-Rhin;Strasbourg;Grand Est;2 RUE DES FRERES LUMIERE;68093;MULHOUSE CEDEX;France;Formations supérieures et recherche universitaire (Recherche et enseignement supérieur);7974;7754;7539;7444;7692;8069
0593560Z;Université Lille 2 - Droit et Santé;;Université;Public;;Hauts-de-France>Lille>Nord>Lille;59350;Lille;Lille;Nord;Lille;Hauts-de-France;42 RUE PAUL DUEZ;59800;LILLE;France;Formations supérieures et recherche universitaire (Recherche et enseignement supérieur);26000;26616;27276;27911;28163;29318
0670189S;École nationale du génie de l'eau et de l'environnement de Strasbourg;ENGEES;Etablissement relevant d'un autre département ministériel rattaché à un EPSCP;Public;Université de Strasbourg;Grand Est>Strasbourg>Bas-Rhin>Strasbourg;67482;Strasbourg;Strasbourg;Bas-Rhin;Strasbourg;Grand Est;1 QUAI KOCH;67070;STRASBOURG CEDEX;France;Enseignement supérieur et recherche agricoles (Recherche et enseignement supérieur);319;329;330;324;325;335
0670190T;Institut national des sciences appliquées de Strasbourg;INSA Strasbourg;Instituts et écoles extérieurs aux universités;Public;;Grand Est>Strasbourg>Bas-Rhin>Strasbourg;67482;Strasbourg;Strasbourg;Bas-Rhin;Strasbourg;Grand Est;24 BOULEVARD DE LA VICTOIRE;67084;STRASBOURG CEDEX;France;Formations supérieures et recherche universitaire (Recherche et enseignement supérieur);1615;1670;1663;1702;1786;1930
0632035V;Université Clermont Auvergne;UCA;Université;Public;;Auvergne-Rhône-Alpes>Clermont-Ferrand>Puy-de-Dôme>Clermont-Ferrand;63113;Clermont-Ferrand;Clermont-Ferrand;Puy-de-Dôme;Clermont-Ferrand;Auvergne-Rhône-Alpes;49 BOULEVARD FRANCOIS MITTERRAND;63001;CLERMONT FERRAND CEDEX 1;France;Formations supérieures et recherche universitaire (Recherche et enseignement supérieur);29684;30069;29729;29971;29253;29727
0602099F;École supérieure de chimie organique et minérale;ESCOM;École d'ingénieurs;Privé;;Hauts-de-France>Amiens>Oise>Compiègne;60159;Compiègne;Compiègne;Oise;Amiens;Hauts-de-France;1 ALLEE DU RESEAU JM BUCKMASTER;60200;COMPIEGNE;France;;564;555;603;623;628;593
0600071B;Institut polytechnique LaSalle Beauvais;Esitpa;École d'ingénieurs;Privé;;Hauts-de-France>Amiens>Oise>Beauvais;60057;Beauvais;Beauvais;Oise;Amiens;Hauts-de-France;19  RUE PIERRE WAGUET;60026;BEAUVAIS CEDEX;France;;1515;1583;1681;1736;1838;1828
